,Unnamed: 0,node1,node2,label,nb_common_labels,nb_common_genres,squared_popularity_diff,cn,pa,tn,minTriangles,maxTriangles,minCoefficient,maxCoefficient,sp,sl
4,3874,2568,3198,0,0.0,0.0,16,0.0,13.0,14.0,0,7,0.0,0.08974358974358974,0.0,0.0
0,1872,1316,7314,0,0.0,0.0,27,0.0,134.0,70.0,0,89,0.0,0.03793691389599318,0.0,0.0
1,4759,1961,2969,0,0.0,0.0,29,0.0,3.0,4.0,0,1,0.0,0.3333333333333333,0.0,0.0
2,4551,2713,3403,0,0.0,0.0,5,0.0,4.0,4.0,0,1,0.0,0.3333333333333333,0.0,0.0
3,4243,2042,5388,0,0.0,0.0,52,0.0,46.0,20.0,1,19,0.12418300653594772,1.0,0.0,0.0
4,4846,314,7941,0,2.0,3.0,6,1.0,1469.0,33.0,6,25,0.09057971014492754,0.13333333333333333,0.0,0.0
0,3044,315,2606,0,0.0,0.0,77,1.0,14.0,7.0,1,6,0.4,1.0,0.0,0.0
1,670,1078,5886,0,0.0,0.0,50,0.0,25.0,13.0,0,12,0.0,0.18181818181818182,0.0,0.0
2,3824,474,7076,0,1.0,0.0,14,1.0,61.0,45.0,0,63,0.0,0.06363636363636363,0.0,0.0
3,3893,921,3265,0,0.0,0.0,43,0.0,4.0,4.0,0,0,0.0,0.0,0.0,0.0
4,1778,2439,3558,0,0.0,0.0,6,0.0,3.0,3.0,0,1,0.0,1.0,0.0,0.0
0,1171,509,556,0,0.0,0.0,11,1.0,9.0,4.0,1,2,0.6666666666666666,1.0,0.0,0.0
1,4169,2013,2947,0,0.0,0.0,6,0.0,2.0,3.0,0,1,0.0,1.0,0.0,0.0
2,769,957,438,0,0.0,0.0,5,0.0,4.0,3.0,0,1,0.0,1.0,0.0,0.0
3,2579,2643,4918,0,1.0,0.0,71,0.0,54.0,15.0,5,14,0.1388888888888889,0.9333333333333333,0.0,0.0
4,1211,1281,457,0,0.0,0.0,34,0.0,16.0,9.0,1,5,0.23809523809523808,1.0,0.0,0.0
0,4424,2551,7756,0,0.0,0.0,30,0.0,351.0,27.0,2,7,0.011695906432748537,0.25,0.0,0.0
1,2934,1213,1280,0,1.0,0.0,9,1.0,6.0,3.0,1,1,1.0,1.0,0.0,0.0
2,4420,728,186,0,0.0,0.0,62,0.0,24.0,11.0,3,6,0.21428571428571427,1.0,0.0,0.0
3,3788,196,459,0,2.0,3.0,32,1.0,396.0,41.0,20,31,0.05525846702317291,0.7142857142857143,0.0,0.0
4,2317,2211,7572,0,0.0,0.0,54,0.0,38.0,17.0,1,17,0.1619047619047619,1.0,0.0,0.0
0,1021,263,1214,0,0.0,0.0,10,0.0,50.0,8.0,3,6,0.5,1.0,0.0,0.0
1,537,540,1069,0,0.0,0.0,80,0.0,7.0,6.0,0,6,0.0,0.6,0.0,0.0
2,3886,415,472,0,0.0,0.0,47,1.0,6.0,4.0,0,1,0.0,0.3333333333333333,0.0,0.0
3,1722,1129,217,0,0.0,0.0,19,0.0,68.0,13.0,1,19,0.34545454545454546,1.0,0.0,0.0
4,2856,185,7444,0,0.0,0.0,4,0.0,128.0,22.0,3,3,0.02857142857142857,0.14285714285714285,0.0,0.0
0,6,1023,5263,0,1.0,0.0,43,0.0,38.0,17.0,0,30,0.0,0.2857142857142857,1.0,0.0
1,53,1784,1899,0,0.0,0.0,35,0.0,6.0,5.0,0,2,0.0,0.6666666666666666,0.0,0.0
2,4928,2122,2237,0,0.0,0.0,1,0.0,3.0,4.0,0,3,0.0,1.0,0.0,0.0
3,1428,1334,668,0,0.0,0.0,12,0.0,9.0,6.0,2,3,0.6666666666666666,1.0,0.0,0.0
4,4517,1111,186,0,0.0,5.0,12,0.0,16.0,10.0,0,6,0.0,0.21428571428571427,0.0,0.0
0,2670,2324,8599,0,0.0,0.0,1,0.0,9.0,6.0,2,3,0.6666666666666666,1.0,0.0,0.0
1,4816,1399,1395,0,1.0,0.0,6,1.0,2.0,2.0,0,1,0.0,1.0,0.0,0.0
2,3566,893,872,0,1.0,1.0,15,1.0,1.0,1.0,0,0,0.0,0.0,1.0,1.0
3,3596,2024,64,0,0.0,0.0,33,0.0,32.0,12.0,0,10,0.0,0.2222222222222222,0.0,0.0
4,2342,699,7373,0,0.0,0.0,18,0.0,6.0,7.0,0,14,0.0,0.9333333333333333,0.0,0.0
0,3618,983,3228,0,0.0,0.0,22,0.0,3.0,4.0,0,0,0.0,0.0,0.0,0.0
1,2341,816,215,0,0.0,0.0,7,0.0,13.0,10.0,0,7,0.0,0.19444444444444445,0.0,0.0
2,2424,2018,5421,0,0.0,0.0,29,0.0,10.0,4.0,1,1,1.0,1.0,0.0,0.0
3,3500,1324,2080,0,0.0,0.0,7,0.0,20.0,19.0,0,10,0.0,0.06535947712418301,0.0,0.0
4,3969,1053,8001,0,0.0,1.0,2,0.0,6.0,4.0,0,1,0.0,1.0,0.0,0.0
0,4894,2399,1521,0,0.0,0.0,20,0.0,504.0,32.0,27,47,0.17028985507246377,0.9642857142857143,0.0,0.0
1,3913,1963,2877,0,0.0,0.0,3,0.0,30.0,13.0,0,45,0.0,0.6818181818181818,0.0,0.0
2,4444,2739,4949,0,0.0,0.0,9,0.0,4.0,4.0,1,1,1.0,1.0,0.0,0.0
3,3733,752,246,0,0.0,0.0,8,0.0,4.0,4.0,0,1,0.0,0.3333333333333333,0.0,0.0
4,966,290,1119,0,0.0,0.0,0,0.0,832.0,15.0,1,17,0.21794871794871795,1.0,0.0,0.0
0,305,2318,7463,0,0.0,0.0,17,0.0,39.0,33.0,0,37,0.0,0.07459677419354839,0.0,0.0
1,4584,1895,1865,0,1.0,0.0,51,0.0,2.0,3.0,0,1,0.0,1.0,0.0,0.0
2,3854,1902,3293,0,0.0,0.0,8,0.0,5.0,5.0,0,2,0.0,0.3333333333333333,0.0,0.0
3,2165,679,660,0,0.0,0.0,29,1.0,8.0,5.0,1,6,1.0,1.0,1.0,0.0
4,3945,583,7076,0,1.0,0.0,66,1.0,793.0,54.0,16,63,0.06363636363636363,0.35555555555555557,0.0,0.0
0,835,2324,8594,0,0.0,0.0,2,0.0,6.0,5.0,1,3,1.0,1.0,0.0,0.0
1,443,2508,434,0,0.0,1.0,18,0.0,18.0,8.0,0,3,0.0,0.3,0.0,0.0
