artist_urn,artist_name,track_name,track_id,track_date,featuring_artist_urn,featuring_artist_name
0GgY7hjMoGDsX8ZDe2mwds,Soolking,Hayati,5hfSel3uxSmd0a5RQV6BEX,2020-09-15,5wyWp867LWGjFmYZXVSFnZ,MERO
0GgY7hjMoGDsX8ZDe2mwds,Soolking,La Kichta,2JeAVbu3nNUaostR1nDWaQ,2020-09-15,3YwqjMyrRfuixi2pbgTGCE,Heuss L'enfoiré
0GgY7hjMoGDsX8ZDe2mwds,Soolking,Chihuahua,4IGs4CMYQqjzd7TDuNgTgq,2020-09-15,1lB3I3SI30v2ZOpR4XQqzJ,Gambi
0GgY7hjMoGDsX8ZDe2mwds,Soolking,CNLZ,3PMYc6b9k1NrQ0fFgU3ILb,2020-09-15,3IW7ScrzXmPvZhB27hmfgy,Jul
0GgY7hjMoGDsX8ZDe2mwds,Soolking,On ira,2LKb1c9yWp2Rj4oJElm9UD,2020-09-15,7rTPCNINGzMp3Hc8Xqht5Z,13 Block
0GgY7hjMoGDsX8ZDe2mwds,Soolking,Jennifer,4h6VjIfIxcdRRaar2Q3TGL,2020-09-15,3egWSWp7Y4FyCKIyvXbw7L,Ghali
47UsCPvaVlYbSiP9GFSxKp,Lindé,Les Bases,1mJZxrmqfZZ99tTU8q1Juo,2020-09-07,6J4ZmGATY6QmDdoiyfWIe8,Plk
47UsCPvaVlYbSiP9GFSxKp,Lindé,Deux Poids 2 Mesures,1T9b4EPTYGRfnvo19U7et1,2020-09-07,3KGSe2wKR6c1CSlPD2Klgf,Niro
47UsCPvaVlYbSiP9GFSxKp,Lindé,Baltringue,3i0ytX3wNVFbbYOgyi9h1B,2020-09-07,76Pl0epAMXVXJspaSuz8im,Freeze corleone
47UsCPvaVlYbSiP9GFSxKp,Lindé,Sakura Haruno,0ZF8IJNXZtUfgQdV0yZmAv,2020-09-07,6HCBnyTBSLdb3TFn2ayulY,Leto
47UsCPvaVlYbSiP9GFSxKp,Lindé,Message Perso,5HvoF2ASBwfA3IXGaFzOO2,2020-09-07,5gs4Sm2WQUkcGeikMcVHbh,Hamza
47UsCPvaVlYbSiP9GFSxKp,Lindé,Venus,2R1ludmipjpc9jVPYKE67X,2020-09-07,0LnhY2fzptb0QEs5Q5gM7S,Laylow
47UsCPvaVlYbSiP9GFSxKp,Lindé,Souvenir,6phFrfmBzTiSRBx36QRppa,2020-09-07,4MRRW42s9ymwa5zu4xTKJh,Kaza
47UsCPvaVlYbSiP9GFSxKp,Lindé,Monde Est Mien,1K0SuLPLREkOS2pdJRoUVP,2020-09-07,25yJrwrn5I0EUdQEiTtNSO,Lefa
47UsCPvaVlYbSiP9GFSxKp,Lindé,Guerre Raciale,1cIvBrlDRY1mqXERxmHpsJ,2020-09-07,3b5bg1k6N9u31OtzSfK2dP,Dosseh
3dihEIvmN2T6p3WcMblIAS,Batikz,West Coast,6lY27oak2cKpI5DZabhnUi,2020-09-01,5gs4Sm2WQUkcGeikMcVHbh,Hamza
3DCWeG2J1fZeu0Oe6i5Q6m,PLK,On sait jamais (feat. Niska),216QmkNpU3hIjeZtGocb9B,2020-08-28,7CUFPNi1TU8RowpnFRSsZV,Niska
